"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 18:02:37 GMT 2024","Thu Sep 12 18:02:37 GMT 2024","621","","TC17 - Canceling order test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:41 GMT 2024","815","","TC18 - Checkout with empty first name test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 18:02:41 GMT 2024","Thu Sep 12 18:02:41 GMT 2024","132","","TC15 - Remove from cart on inventory page test","","","","should check that cart is empty",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:39 GMT 2024","263","","TC15 - Remove from cart on inventory page test","","","","should check that cart bage is empty after deletion",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:38 GMT 2024","478","","TC11 - Valid checkout test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 18:02:36 GMT 2024","Thu Sep 12 18:02:37 GMT 2024","485","","TC16 - Continue shopping test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:43 GMT 2024","Thu Sep 12 18:02:43 GMT 2024","243","","TC13 - Add to cart test","","","","should check that cart is displayed, product is the same as added",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:42 GMT 2024","1516","","TC13 - Add to cart test","","","","should check that logged out",""
"passed","Thu Sep 12 18:02:47 GMT 2024","Thu Sep 12 18:02:49 GMT 2024","1918","","TC2 - Login invalid password test","","","","should check that password is secured",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","1508","","TC17 - Canceling order test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 18:02:37 GMT 2024","Thu Sep 12 18:02:38 GMT 2024","318","","TC11 - Valid checkout test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 18:02:52 GMT 2024","Thu Sep 12 18:02:54 GMT 2024","1893","","TC6 - Footer link test","","","","should check that Facebook opens in new tab",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:39 GMT 2024","544","","TC14 - Remove from cart test","","","","should check that cart bage is empty after deletion from item page",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","379","","TC18 - Checkout with empty first name test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 18:02:37 GMT 2024","Thu Sep 12 18:02:37 GMT 2024","524","","TC16 - Continue shopping test","","","","should check that cart page is displayed and product is same as added",""
"passed","Thu Sep 12 18:02:42 GMT 2024","Thu Sep 12 18:02:43 GMT 2024","827","","TC13 - Add to cart test","","","","should check that logged in and products and cart are displayed",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","199","","TC13 - Add to cart test","","","","should check that cart is empty",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","151","","TC19 - Checkout with empty postal code test","","","","should check that checkout form is opened",""
"passed","Thu Sep 12 18:02:52 GMT 2024","Thu Sep 12 18:02:53 GMT 2024","106","","TC4 - Logout test","","","","should check that user is redirected and fields are empty",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","196","","TC14 - Remove from cart test","","","","should check that item is added to cart",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:42 GMT 2024","1367","","TC14 - Remove from cart test","","","","should check that logged out",""
"passed","Thu Sep 12 18:02:38 GMT 2024","Thu Sep 12 18:02:39 GMT 2024","634","","TC10 - Inventory Sort test lohi","","","","should sort items by price from low to high",""
"passed","Thu Sep 12 18:02:50 GMT 2024","Thu Sep 12 18:02:52 GMT 2024","2051","","TC6 - Footer link test","","","","should check that Twitter opens in new tab",""
"passed","Thu Sep 12 18:02:49 GMT 2024","Thu Sep 12 18:02:50 GMT 2024","931","","TC20 - Checkout with empty last name test","","","","should check that overview page is opened and price is correct",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","239","","TC17 - Canceling order test","","","","should check that user is redirected to the Inventory page when cancel",""
"passed","Thu Sep 12 18:02:39 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","1515","","TC15 - Remove from cart on inventory page test","","","","should check that logged out",""
"passed","Thu Sep 12 18:02:40 GMT 2024","Thu Sep 12 18:02:40 GMT 2024","373","","TC11 - Valid checkout test","","","","should check that user is redirected to the Checkout Complete page",""
"passed","Thu Sep 12 18:02:54 GMT 2024","Thu Sep 12 18:02:56 GMT 2024","1633","","TC6 - Footer link test","","","","should check that LinkedIn opens in new tab",""
"passed","Thu Sep 12 18:02:51 GMT 2024","Thu Sep 12 18:02:56 GMT 2024","4421","","TC5 - About link test","","","","should check that About link opens",""
